"filename", "language", "JSON", "JavaScript", "HTML", "vue", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\components\element\ShinyText.vue", "vue", 0, 0, 0, 41, 0, 0, 0, 0, 8, 49
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\components\element\SpotlightCard .vue", "vue", 0, 0, 0, 46, 0, 0, 0, 0, 12, 58
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\main.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\file.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 2, 18
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\functionManageApi.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 4, 5, 37
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\login.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\request.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 9, 7, 72
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\roleManageApi.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 10, 11, 91
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\userManageApi.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\websiteFileManageApi.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 10, 35
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\websiteListApi.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\websiteManageApi.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 5, 6, 27
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\websiteMenuManageApi.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 6, 7, 32
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\request\websiteNodeApi.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\router\index.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 1, 68
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\store\systemStore.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 18, 69
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\utils\util.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\Index.vue", "vue", 0, 0, 0, 98, 0, 0, 0, 0, 8, 106
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\components\SystemLeftMenu.vue", "vue", 0, 0, 0, 58, 0, 0, 0, 0, 7, 65
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemDataAnalysis\systemDataAnalysis.vue", "vue", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemFunctionManage\SystemFunctionManage.vue", "vue", 0, 0, 0, 132, 0, 0, 0, 0, 13, 145
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemFunctionManage\elements\FunctionEdit.vue", "vue", 0, 0, 0, 79, 0, 0, 0, 0, 10, 89
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemFunctionManage\elements\FunctionItem.vue", "vue", 0, 0, 0, 223, 0, 0, 0, 0, 33, 256
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemFunctionManage\elements\FunctionTitle.vue", "vue", 0, 0, 0, 54, 0, 0, 0, 0, 7, 61
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemRoleManage\SystemRoleManage.vue", "vue", 0, 0, 0, 168, 0, 0, 0, 0, 15, 183
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemRoleManage\elements\RoleEdit.vue", "vue", 0, 0, 0, 75, 0, 0, 0, 0, 10, 85
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemRoleManage\elements\RoleItem.vue", "vue", 0, 0, 0, 254, 0, 0, 0, 0, 37, 291
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemRoleManage\elements\RolePermission.vue", "vue", 0, 0, 0, 97, 0, 0, 0, 0, 14, 111
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemRoleManage\elements\RoleTitle.vue", "vue", 0, 0, 0, 53, 0, 0, 0, 0, 7, 60
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemUserManage\SystemUserManage.vue", "vue", 0, 0, 0, 291, 0, 0, 0, 0, 31, 322
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Console\view\SystemUserManage\elements\UserEdit.vue", "vue", 0, 0, 0, 169, 0, 0, 0, 0, 18, 187
